ticker,company_name,cik,sector,quarter_end_date,fiscal_year,fiscal_quarter,revenue,net_income,total_assets,total_liabilities,stockholders_equity,shares_outstanding,close_price_asof,cpi_level,cpi_yoy,unemployment_rate,book_value_per_share,earnings_per_share,market_cap,roe,roa,debt_to_assets,profit_margin,price_to_book,price_to_earnings,pb_quarter_median,valuation_label
PG,Procter & Gamble Co,80424,Consumer,2023-12-31,2023,Q4,21441000000.0,3468000000.0,120709000000.0,71880000000.0,48829000000.0,2353021054.0,146.54,306.746,3.3521228314302265,3.8,20.751620525024,1.473849965815053,344811705253.16,0.07102336726125867,0.028730252093878667,0.5954816956482119,0.16174618721141737,7.061617179404861,99.42667394843137,5.218205259494747,1
PG,Procter & Gamble Co,80424,Consumer,2024-03-31,2024,Q1,20195000000.0,3754000000.0,119598000000.0,69264000000.0,50333000000.0,2360135282.0,162.25,312.332,3.4773850700380304,3.9,21.326319886776727,1.590586789083898,382931949504.5,0.07458327538592971,0.031388484757270185,0.57914011939999,0.185887595939589,7.607969910486163,102.00637972948854,5.61176960641737,1
PG,Procter & Gamble Co,80424,Consumer,2024-06-30,2024,Q2,84039000000.0,14879000000.0,122370000000.0,71811000000.0,50559000000.0,2360135282.0,164.92,314.175,2.971397107263307,4.1,21.422077109561215,6.304299636329067,389233510707.43994,0.29428983959334637,0.12159025905042085,0.5868350085805344,0.17704875117504967,7.69859986762871,26.159924101582092,6.6995721510376045,1
PG,Procter & Gamble Co,80424,Consumer,2024-09-30,2024,Q3,21737000000.0,3959000000.0,126482000000.0,74341000000.0,52141000000.0,2355041729.0,173.2,315.301,2.440633031069983,4.1,22.140159708397253,1.6810742464767596,407893227462.8,0.07592873170825262,0.031300896570262964,0.5877595230941952,0.18213184892119427,7.822888465177115,103.0293577829755,7.130343943379295,1
PG,Procter & Gamble Co,80424,Consumer,2024-12-31,2024,Q4,21882000000.0,4630000000.0,122639000000.0,71195000000.0,51443000000.0,2344851814.0,167.65,315.605,2.888057219980067,4.1,21.938699790263165,1.9745384217273185,393114406617.10004,0.0900025270687946,0.0377530801784098,0.5805249553567788,0.21158943423818663,7.6417473051163425,84.90591935574514,7.320146172734304,1
SLB,Schlumberger NV,87347,Energy,2019-03-31,2019,Q1,7879000000.0,421000000.0,70321000000.0,33797000000.0,36103000000.0,1385122272.0,39.0403,254.202,,3.8,26.064846930711976,0.3039442860102967,54075589035.5616,0.0116610807966097,0.005986831814109583,0.4806103439939705,0.05343317679908618,1.4978142823466638,128.44557965691592,4.278058638499007,0
SLB,Schlumberger NV,87347,Energy,2019-06-30,2019,Q2,8269000000.0,492000000.0,70591000000.0,34318000000.0,35852000000.0,1383005073.0,36.1176,256.143,,3.6,25.923259935865758,0.35574706818157853,49950824024.5848,0.013723083788909964,0.006969727019025088,0.48615262568882717,0.05949933486515903,1.3932506979968986,101.52606509061953,4.43836233991946,0
SLB,Schlumberger NV,87347,Energy,2019-09-30,2019,Q3,8541000000.0,-11383000000.0,57990000000.0,33663000000.0,23913000000.0,1384389267.0,31.5412,256.759,,3.5,17.273320857088095,-8.22239833213038,43665298748.3004,-0.47601722912223476,-0.19629246421796862,0.5804966373512674,-1.3327479217890177,1.8260067222138754,-3.836009729271756,4.291921516063829,0
SLB,Schlumberger NV,87347,Energy,2019-12-31,2019,Q4,32917000000.0,-10137000000.0,56312000000.0,32136000000.0,23760000000.0,1384515345.0,37.6249,256.974,,3.6,17.16123991388481,-7.321695665279896,52092251404.09049,-0.42664141414141415,-0.18001491689160393,0.5706776530757209,-0.3079563751253152,2.1924348234044824,-5.138823261723439,4.711272260190797,0
SLB,Schlumberger NV,87347,Energy,2020-03-31,2020,Q1,7455000000.0,-7376000000.0,48594000000.0,32611000000.0,15561000000.0,1387812907.0,12.8127,258.115,1.5393269919198094,4.4,11.212606484283116,-5.314837441557243,17781630433.518898,-0.4740055266371056,-0.1517882866197473,0.6710910812034407,-0.989403085177733,1.1427048668799498,-2.410741653134341,4.132023433637685,0
SLB,Schlumberger NV,87347,Energy,2020-06-30,2020,Q2,5356000000.0,-3434000000.0,44667000000.0,32211000000.0,12040000000.0,1388101743.0,17.5848,257.797,0.6457330475554857,11.0,8.673715785399745,-2.4738820603872695,24409491530.3064,-0.2852159468438538,-0.07688002328340833,0.7211364094297804,-0.6411501120238984,2.027366406171628,-7.108180410689109,4.738882958015099,0
SLB,Schlumberger NV,87347,Energy,2020-09-30,2020,Q3,5258000000.0,-82000000.0,44066000000.0,31697000000.0,11941000000.0,1392030009.0,14.9784,260.28,1.3713248610564666,7.8,8.57811966897044,-0.05890677605356136,20850382286.8056,-0.0068670965580772125,-0.0018608450959923752,0.7193074025325648,-0.015595283377710156,1.7461169321502052,-254.27295471714146,5.293485366260736,0
SLB,Schlumberger NV,87347,Energy,2020-12-31,2020,Q4,23601000000.0,-10518000000.0,42434000000.0,29945000000.0,12071000000.0,1392325960.0,21.1392,260.474,1.3620054947193203,6.7,8.66966525568481,-7.55426552558138,29432656933.632,-0.8713445447767376,-0.24786727624075033,0.7056841212235472,-0.44565908224227785,2.438294833371883,-2.7983130760251,5.73249550399329,0
SLB,Schlumberger NV,87347,Energy,2021-03-31,2021,Q1,5223000000.0,299000000.0,42036000000.0,29064000000.0,12543000000.0,1398332463.0,26.4548,264.877,2.619762508959189,6.1,8.969969826124247,0.21382611640047436,36992605642.1724,0.023837997289324724,0.0071129508040727,0.6914073651156152,0.057246793030825194,2.9492629866995452,123.72108910425551,6.317200851854883,0
